100000 100000
1 849008523 404895393
1 219221553 167681597
1 819681151 273509352
1 426384343 88722762
1 871387173 358722649
1 731553400 667093303
1 513772492 735507035
1 176044419 339063145
1 288118553 980379933
1 150177305 736679910
1 999107075 610952210
1 90375060 455673569
1 126846274 247044225
1 997251475 488654068
1 583858607 58824706
1 843782821 268846337
1 115343469 192928820
1 540888970 422641039
1 963338962 958719601
1 642908464 17821322
1 596285659 614373911
1 50060908 353069710
1 532764614 108521733
1 22797122 899140288
1 533151884 27434035
1 609331751 836710161
1 81644665 107317869
1 865072024 801217178
1 894275577 999060933
1 52770026 788059349
1 488213700 665619291
1 608945876 793759977
1 791681580 776616826
1 131307701 68320169
1 966724180 664998636
1 498218861 318635752
1 396384038 532253672
1 601933238 689448627
1 931842214 21336774
1 739600030 822355374
1 69328644 708856543
1 668661820 210262567
1 291307316 886828499
1 781577442 962082642
1 895755388 893419224
1 616432904 719682978
1 501594657 428085724
1 888611937 299543921
1 68536925 287337192
1 475210202 159160399
1 120876433 636636525
1 58318169 693901929
1 154839210 779905953
1 344616173 200623652
1 930470971 449692143
1 794395284 288683367
1 529154710 566407321
1 720701091 15467357
1 153259383 997557328
1 11737524 497048922
1 715463973 835033236
1 70086953 130380515
1 510181691 514456744
1 431848462 729857621
1 577543314 144393958
1 839442675 338456513
1 220479550 190505775
1 891562063 490187722
1 868275366 745673575
1 880065295 183031107
1 96320261 237913945
1 508698391 561458830
1 356458026 303646430
1 674540657 231628264
1 419846657 524478735
1 567718531 168485474
1 562034908 133114181
1 16979101 338382612
1 13082852 633140148
1 708802478 544436415
1 54843732 74076317
1 382906016 640404500
1 267222687 616373110
1 510734869 221784802
1 949222808 79204140
1 446790149 244699262
1 468331485 512680718
1 744909057 649837567
1 462818371 402591963
1 724207555 966549336
1 1137461 375911360
1 94775248 40684218
1 410643182 815002063
1 808833355 283690553
1 4075745 929053158
1 318361247 108692230
1 737058253 845360853
1 996314849 926650062
1 463239749 835219646
1 129712250 963841201
1 812388480 905134312
1 800939533 963231735
1 913846978 16094480
1 952796980 20770828
1 127463097 231075220
1 23623363 546365824
1 12838632 30523324
1 436459250 559455176
1 893966912 106295572
1 231493644 266284922
1 408224315 608788618
1 555027806 830856521
1 386187130 951512676
1 699143140 261216174
1 621737667 682521545
1 836136727 964468368
1 8451504 310507026
1 865334145 911717531
1 942935590 636629917
1 625162020 608069016
1 172950857 32657786
1 477654791 650199851
1 540212949 945657974
1 822645264 699232662
1 625512339 846408086
1 378892969 558095206
1 244192435 301005628
1 129071114 132708106
1 879209448 831196107
1 919102684 508937117
1 447704219 575088223
1 805183223 65464145
1 795260929 805193353
1 462865153 981835615
1 559315504 879752809
1 306952955 495573169
1 409878339 490682575
1 279671075 383032820
1 995097197 788925721
1 750744561 297410602
1 933967458 26069261
1 465573146 604938801
1 123185396 788672020
1 481829213 90233701
1 571623650 229827450
1 918229932 872979782
1 327109355 961771743
1 659613438 605445230
1 157916312 602646670
1 7826760 547852853
1 98530653 87771712
1 2545293 976550158
1 12934697 83561288
1 610414891 713691318
1 830434263 612436388
1 838052643 598508806
1 128389666 417029805
1 299522279 369274585
1 275706051 669372578
1 67246250 424304006
1 272794188 767309949
1 98879610 510241070
1 648413723 202912514
1 597278025 113200097
1 116988087 64219782
1 785224830 986706995
1 433853770 866309403
1 849870477 652349320
1 702234702 681491180
1 979846046 367889926
1 621394469 563865122
1 59343588 393744817
1 689376099 669820328
1 855665124 613238756
1 527017765 10511058
1 687977595 787483717
1 714981231 518544452
1 887246782 977703953
1 244716756 316312665
1 985558753 744592360
1 220546936 175578630
1 364526942 626447881
1 403838873 64592569
1 25243148 645783486
1 789894657 15594445
1 723613879 371549970
1 819535627 122654778
1 51501564 943854985
1 117685006 99456955
1 881527286 132393727
1 336674821 21790349
1 281317891 143781921
1 853955844 595635785
1 806001018 925242828
1 194235607 342703409
1 878283985 663830064
1 997855614 259505075
1 547461058 3552989
1 675076517 854914118
1 287947118 246555535
1 871577636 412350643
1 423349194 409559625
1 705256940 291142787
1 813860261 226058884
1 577624885 160852686
1 145311532 354990263
1 323297453 526665661
1 298282497 7094981
1 538640507 287429044
1 801805460 277459873
1 292208215 995852463
1 951572641 770658078
1 136281696 707370479
1 441161915 494755961
1 983744165 104561480
1 34401789 103723836
1 540085704 954534906
1 824314488 836593019
1 634095766 433682748
1 226076573 563369446
1 99051828 50203927
1 718015840 774588965
1 685843256 422870143
1 913047030 810775395
1 606381025 635982160
